date,rendement_predit,vol_empirique,prediction,alpha(expo_crypto),rendement_observe,valeur_portefeuille,valeur_crypto
2022-12-02,0%,4%,neutral,100%,0.47698852649220647%,11109.87306952534,135.35949982632863
2022-12-05,0%,4%,neutral,100%,2.8868360277136262%,11430.59688792965,139.26710663424805
2022-12-06,-2%,4%,bear,50%,-0.3865818680633524%,11386.4082729495,138.7287252518236
2022-12-07,-2%,4%,bear,50%,-3.7431146720080055%,11173.305113609747,133.5359499826329
2022-12-08,-2%,4%,bear,50%,1.7947717518532909%,11222.482765765075,135.93261549149014
2022-12-09,-2%,4%,bear,50%,-2.5041522933435463%,11187.559505538828,132.52865578325813
2022-12-12,2%,4%,bull,100%,-0.10483553924780277%,11186.846785942373,132.38971865230988
2022-12-13,0%,4%,neutral,100%,1.5217106126196989%,11357.078220701564,134.40430705105945
2022-12-14,-2%,4%,bear,50%,-2.7006073136064135%,11050.368135661296,130.7745745050365
2022-12-15,0%,4%,neutral,100%,-3.824701195219118%,10839.046354580922,125.77283779089966
2022-12-16,0%,4%,neutral,100%,-8.519745926539631%,10386.31878886359,115.05731156651618
2022-12-19,-2%,4%,bear,50%,-4.347169811320758%,10174.997007783213,110.05557485237931
2022-12-20,0%,4%,neutral,100%,3.4401136184314343%,10254.976431872661,113.84161167071902
2022-12-21,-2%,4%,bear,50%,-0.2288329519450671%,10249.47326049036,113.58110455019107
2022-12-22,0%,4%,neutral,100%,1.2385321100917248%,10264.331823222574,114.98784300104204
2022-12-23,2%,4%,bull,100%,-0.6947590998338525%,10255.893627103045,114.18895449808963
2022-12-26,2%,4%,bull,100%,7.650190114068443%,11040.488987473058,122.92462660646059
2022-12-27,2%,4%,bull,100%,-2.9810680983328615%,10711.364492367546,119.26015977770061
2022-12-28,-2%,4%,bear,50%,-3.422163972622701%,10344.804035733443,115.17888155609586
2022-12-29,2%,4%,bull,100%,0.5126658624849267%,10371.321175149526,115.76936436262591
