date,rendement_predit,vol_empirique,prediction,alpha(expo_crypto),rendement_observe,valeur_portefeuille,valeur_crypto
2022-10-14,0%,4%,neutral,100%,-1.60708428993112%,9866.310285948499,94.90667510281563
2022-10-17,0%,4%,neutral,100%,4.033333333333336%,10055.86626317933,98.73457766529586
2022-10-18,0%,4%,neutral,100%,-3.396347324575464%,9889.808960811824,95.3812084783297
2022-10-19,-2%,4%,bear,50%,-4.278606965174127%,9687.720356987222,91.30022144890863
2022-10-20,0%,4%,neutral,100%,-2.945252945252938%,9621.140778207797,88.61119898766219
2022-10-21,0%,4%,neutral,100%,0.32131381649410873%,9628.190380666794,88.89591901297065
2022-10-24,0%,4%,neutral,100%,0.7117437722419904%,9643.856163909011,89.52863018032275
2022-10-25,0%,4%,neutral,100%,9.045936395759712%,9844.378189409395,97.62733312242968
2022-10-26,2%,4%,bull,100%,1.3933895009721313%,9878.059623380163,98.98766213223671
2022-10-27,-2%,4%,bear,50%,-2.2690955576861644%,9653.917011280451,96.74153748813674
2022-10-28,0%,4%,neutral,100%,4.872465663832577%,9889.108907075217,101.45523568490992
2022-10-31,0%,4%,neutral,100%,1.5279077019020955%,9966.453892940612,103.0053780449226
2022-11-01,0%,4%,neutral,100%,-1.1056511056511038%,9909.629005366038,101.8664979436888
2022-11-02,0%,4%,neutral,100%,-4.347826086956528%,9688.643331464915,97.43751977222406
2022-11-03,0%,4%,neutral,100%,0.16233766233766464%,9696.535676961383,97.59569756406209
2022-11-04,-2%,4%,bear,50%,9.367909238249595%,10152.713246657271,106.7383739323
2022-11-07,0%,4%,neutral,100%,-12.21102548903379%,9827.548612202763,93.70452388484664
2022-11-08,0%,4%,neutral,100%,-17.69074949358542%,9413.989708187806,77.1274913002215
2022-11-09,0%,4%,neutral,100%,-42.24774405250205%,8601.078122051535,44.54286618158813
2022-11-10,0%,4%,neutral,100%,25.426136363636363%,8883.624090825113,55.8683960771908
2022-11-11,-2%,4%,bear,50%,-6.851642129105327%,8788.126710317842,52.04049351471057
2022-11-14,0%,4%,neutral,100%,-14.893617021276592%,8691.4454779861,44.28978171464729
2022-11-15,0%,4%,neutral,100%,2.285714285714288%,8704.07323078045,45.30211958241066
2022-11-16,-2%,4%,bear,50%,-0.34916201117318935%,8702.100144406335,45.14394179057263
2022-11-17,0%,4%,neutral,100%,-4.344779257182896%,8689.867008886808,43.182537171781114
2022-11-18,0%,4%,neutral,100%,-2.7838827838827895%,8682.369280665163,41.98038595381212
2022-11-21,0%,4%,neutral,100%,-10.851544837980404%,8653.956836877875,37.424865548876966
2022-11-22,0%,4%,neutral,100%,5.156382079458998%,8665.99266375999,39.35463460930088
2022-11-23,-2%,4%,bear,50%,15.434083601286176%,8703.875922143041,45.42866181588108
2022-11-24,0%,4%,neutral,100%,1.6016713091922035%,8706.144971473275,46.156279658336
2022-11-25,0%,4%,neutral,100%,-3.8382453735435265%,8700.620329625746,44.3846883897501
2022-11-28,0%,4%,neutral,100%,-5.06058446186742%,8693.61587299763,42.13856374565014
2022-11-29,0%,4%,neutral,100%,0.15015015015014693%,8693.813181635043,42.20183486238535
2022-11-30,0%,4%,neutral,100%,6.146926536731637%,8701.902835768924,44.79595064852897
2022-12-01,2%,4%,bull,100%,-4.590395480225991%,8695.490305053041,42.73963935463463
2022-12-02,-2%,4%,bear,50%,1.4803849000740272%,8824.217030516447,43.37235052198674
2022-12-05,0%,4%,neutral,100%,0.8023340627279316%,8859.616880018883,43.7203416640304
2022-12-06,0%,4%,neutral,100%,3.4732272069464574%,9014.08895057497,45.238848465675446
2022-12-07,0%,4%,neutral,100%,-5.664335664335667%,8753.417331511573,42.676368237899425
2022-12-08,0%,4%,neutral,100%,1.48257968865826%,8817.780694243276,43.309079405251524
2022-12-09,-2%,4%,bear,50%,-0.7304601899196468%,8785.599012877425,42.992723821575474
2022-12-12,0%,4%,neutral,100%,-2.0603384841795394%,8740.544658965233,42.106928187282534
2022-12-13,0%,4%,neutral,100%,4.357625845229151%,8833.871534926202,43.94179057260363
2022-12-14,0%,4%,neutral,100%,1.6558675305975423%,8870.880468496931,44.66940841505855
2022-12-15,0%,4%,neutral,100%,-0.5665722379603405%,8858.00779595059,44.41632394811771
2022-12-16,0%,4%,neutral,100%,-12.749287749287744%,8569.98174772622,38.75355900031638
2022-12-19,-2%,4%,bear,50%,-2.5306122448979633%,8520.100141609151,37.77285669092061
2022-12-20,0%,4%,neutral,100%,2.6800670016750443%,8545.845486701832,38.78519455868398
2022-12-21,0%,4%,neutral,100%,-0.9787928221859643%,8536.190982292077,38.405567858272725
2022-12-22,0%,4%,neutral,100%,-2.6359143327841865%,8510.445637199397,37.39322999050936
2022-12-23,2%,4%,bull,100%,-0.3384094754653208%,8507.227469062811,37.26668775703894
2022-12-26,2%,4%,bull,100%,-3.9049235993208753%,8175.026735975469,35.8114520721291
2022-12-27,2%,4%,bull,100%,-2.0318021201413465%,8008.926369431797,35.08383422967418
2022-12-28,0%,4%,neutral,100%,-11.992786293958522%,7048.43294550535,30.876304966782687
2022-12-29,0%,4%,neutral,100%,-1.2295081967213035%,6961.771884699958,30.496678266371426
2022-12-30,0%,4%,neutral,100%,2.697095435684645%,7149.537516444977,31.319202783929157
2023-01-02,2%,4%,bull,100%,13.939393939393929%,8146.139715707003,35.68490983865867
2023-01-03,-2%,4%,bear,50%,18.52836879432624%,9655.486524734277,42.29674153748816
2023-01-04,-2%,4%,bear,50%,0.44876589379207554%,9677.151789935626,42.48655488769379
2023-01-05,2%,4%,bull,100%,0.0%,9677.151789935626,42.48655488769379
2023-01-06,0%,4%,neutral,100%,0.5212211466865249%,9727.591151461724,42.708003796267036
2023-01-09,0%,4%,neutral,100%,20.37037037037037%,11709.137497129852,51.40778234735847
2023-01-10,-2%,4%,bear,50%,-0.3076923076923121%,11673.109381754068,51.24960455552044
2023-01-11,0%,4%,neutral,100%,0.9876543209876552%,11730.754366355322,51.75577348940213
2023-01-12,0%,4%,neutral,100%,1.4058679706601493%,11813.619031719627,52.48339133185706
2023-01-13,-2%,4%,bear,50%,10.247136829415306%,12426.096993107956,57.86143625434995
2023-01-16,-2%,4%,bear,50%,28.922908693275012%,13379.040644797447,74.5966466308131
2023-01-17,0%,4%,neutral,100%,-3.053435114503812%,13314.190037121036,72.31888642834552
2023-01-18,0%,4%,neutral,100%,-9.055118110236222%,13127.744540051353,65.77032584625124
2023-01-19,0%,4%,neutral,100%,2.934102934102931%,13182.687415999424,67.70009490667515
2023-01-20,-2%,4%,bear,50%,19.20560747663553%,13552.876301485605,80.7023093957609
2023-01-23,2%,4%,bull,100%,-4.625637005096054%,13499.734831306325,76.96931350838348
2023-01-24,0%,4%,neutral,100%,-6.370735717221526%,12639.702402678096,72.06580196140467
2023-01-25,0%,4%,neutral,100%,7.638279192273917%,13605.158161267205,77.57038911736797
2023-01-26,0%,4%,neutral,100%,-0.7748776508972319%,13499.734831306325,76.96931350838346
2023-01-27,-2%,4%,bear,50%,0.41101520756268567%,13555.22079444363,77.28566909205952
2023-01-30,-2%,4%,bear,50%,-1.9238641015145268%,13424.828781070963,75.79879784878207
2023-01-31,-2%,4%,bear,50%,-0.16694490818029692%,13419.280184757234,75.67225561531166
2023-02-01,-2%,4%,bear,50%,4.515050167224073%,13494.186234992596,79.08889591901301
2023-02-02,-2%,4%,bear,50%,-2.719999999999999%,13470.60470065924,76.93767795001585
2023-02-03,0%,4%,neutral,100%,1.5213815789473724%,13477.020265146992,78.10819360961725
2023-02-06,0%,4%,neutral,100%,-8.221952207371409%,13441.821357281764,71.6861752609934
2023-02-07,-2%,4%,bear,50%,5.119152691968226%,13461.935018919035,75.3559000316356
2023-02-08,0%,4%,neutral,100%,-2.5188916876574368%,13456.733209874914,73.45776652957929
2023-02-09,0%,4%,neutral,100%,-11.80017226528854%,13432.978281906755,64.78962353685547
2023-02-10,2%,4%,bull,100%,-1.8066406250000049%,13429.770499662878,63.61910787725408
2023-02-13,-2%,4%,bear,50%,3.281949278965689%,13870.528755743311,65.70705472951602
2023-02-14,0%,4%,neutral,100%,5.151661049590758%,14227.810069384268,69.09205947484978
2023-02-15,-2%,4%,bear,50%,9.249084249084246%,14902.303764295233,75.48244226510602
2023-02-16,2%,4%,bull,100%,-6.789606035205368%,14631.838470791332,70.35748180955397
2023-02-17,0%,4%,neutral,100%,4.0467625899280675%,15223.954236246018,73.20468206263845
2023-02-20,0%,4%,neutral,100%,13.483146067415735%,17276.622223155595,83.07497627333129
2023-02-21,-2%,4%,bear,50%,-4.8743335872048785%,16434.502023397818,79.02562480227782
2023-02-22,0%,4%,neutral,100%,-3.2826261008807056%,16164.760396912905,76.43150901613419
2023-02-23,0%,4%,neutral,100%,-1.03476821192053%,16082.52209615531,75.64062005694406
2023-02-24,-2%,4%,bear,50%,-3.5131744040150554%,15806.201405609792,72.98323315406522
2023-02-27,0%,4%,neutral,100%,-1.6905071521456463%,15742.055531018868,71.74944637772862
2023-02-28,0%,4%,neutral,100%,-3.483245149911813%,15612.119015821867,69.2502372666878
2023-03-01,0%,4%,neutral,100%,2.832343535861128%,15714.094508761285,71.21164188547932
2023-03-02,-2%,4%,bear,50%,-2.265659706796986%,15630.211441988538,69.59822840873146
2023-03-03,0%,4%,neutral,100%,-2.6363636363636287%,15582.513227549132,67.76336602341037
2023-03-06,-2%,4%,bear,50%,-3.6881419234360537%,15517.544969950632,65.26415691236956
2023-03-07,-2%,4%,bear,50%,-1.8419777023751769%,15501.919692806689,64.06200569440057
2023-03-08,0%,4%,neutral,100%,-9.08641975308642%,15464.090074458196,58.24106295476121
2023-03-09,0%,4%,neutral,100%,-5.866376969038576%,15441.885733253645,54.82442265105984
2023-03-10,0%,4%,neutral,100%,4.847085978072727%,15459.15577641274,57.48180955393869
2023-03-13,0%,4%,neutral,100%,12.272977435332947%,15505.003629085099,64.53653906991465
2023-03-14,-2%,4%,bear,50%,2.254901960784318%,15514.461033672223,65.9917747548245
2023-03-15,0%,4%,neutral,100%,-7.766059443911797%,15497.80777776881,60.866814299272455
2023-03-16,-2%,4%,bear,50%,2.234927234927252%,15502.228086434532,62.22714330907949
2023-03-17,0%,4%,neutral,100%,9.811896288764615%,15512.148081463416,68.3328060740273
2023-03-20,0%,4%,neutral,100%,2.453703703703692%,15514.872225176012,70.00949066751038
2023-03-21,0%,4%,neutral,100%,1.8075011296882155%,15516.928182694952,71.27491300221459
2023-03-22,0%,4%,neutral,100%,-4.9267643142476665%,15511.222900579893,67.76336602341041
2023-03-23,0%,4%,neutral,100%,3.4547152194210944%,15515.026421989933,70.1043973426132
