date,rendement_predit,vol_empirique,prediction,alpha(expo_crypto),rendement_observe,valeur_portefeuille,valeur_crypto
2023-01-17,-2%,4%,bear,50%,-0.00721016652504225,2.6495480311095467,1565.57
2023-01-18,-2%,4%,bear,50%,-0.034581653966286985,2.5579222779306594,1511.43
2023-01-19,-2%,4%,bear,50%,0.026240050812806226,1.3125211442393847,1551.09
2023-01-20,-2%,4%,bear,50%,0.06926097131694497,0.7017138167817162,1658.52
2023-01-23,-2%,4%,bear,50%,-0.019432988447531496,0.3440387101433619,1626.29
2023-01-24,0%,4%,neutral,100%,-0.04323952062670244,0.32916264123973393,1555.97
2023-01-25,-2%,4%,bear,50%,0.03597113054878953,0.34100299357955277,1611.94
2023-01-26,-2%,4%,bear,50%,-0.006731019765003787,0.16935384784492166,1601.09
2023-01-27,-2%,4%,bear,50%,-0.002167273544897541,0.08449340586538039,1597.62
2023-01-30,0%,4%,neutral,100%,-0.019666754297016698,0.08283169481250784,1566.2
2023-01-31,0%,4%,neutral,100%,0.01221427659302754,0.08384342404361705,1585.33
2023-02-01,0%,4%,neutral,100%,0.035544650009777135,0.08682360920686877,1641.68
2023-02-02,-2%,4%,bear,50%,0.0008771502363431605,0.04344988327810237,1643.12
2023-02-03,2%,4%,bull,100%,0.012415404839573485,570.1075790706525,1663.52
2023-02-06,2%,4%,bull,100%,-0.02959387323266327,5935.748739867728,1614.29
2023-02-07,-2%,4%,bear,50%,0.035148579251559564,6144.381874868313,1671.03
2023-02-08,2%,4%,bull,100%,-0.012327726013297124,6068.635618593868,1650.43
2023-02-09,-2%,4%,bear,50%,-0.06366825615142735,2841.128085769779,1545.35
2023-02-10,-2%,4%,bear,50%,-0.02089494289319571,1390.8814383326826,1513.06
2023-02-13,-2%,4%,bear,50%,-0.005168334368762628,691.8464489960369,1505.24
2023-02-14,0%,4%,neutral,100%,0.033529536818049044,715.0437399800859,1555.71
2023-02-15,0%,4%,neutral,100%,0.07662739199465207,769.835676936862,1674.92
2023-02-16,-2%,4%,bear,50%,-0.02213837078785863,376.3963846375558,1637.84
2023-02-17,-2%,4%,bear,50%,0.034209690812289306,389.2727885788701,1693.87
2023-02-20,-2%,4%,bear,50%,0.00554942232875022,195.71651384189227,1703.27
2023-02-21,-2%,4%,bear,50%,-0.02554498112454273,95.35846959501991,1659.76
2023-02-22,-2%,4%,bear,50%,-0.010013495927121974,47.2017989740568,1643.14
2023-02-23,0%,4%,neutral,100%,0.004497486519712268,47.41408842864878,1650.53
2023-02-24,-2%,4%,bear,50%,-0.025888653947519935,23.093300750541193,1607.8
2023-02-27,2%,4%,bull,100%,0.01595347680059711,10051.885379816025,1633.45
2023-02-28,2%,4%,bull,100%,-0.01727631699776544,9878.22582156912,1605.23
2023-03-01,2%,4%,bull,100%,0.03737159160992509,10247.390842803417,1665.22
2023-03-02,-2%,4%,bear,50%,-0.010425048942482196,5070.280645867224,1647.86
2023-03-03,-2%,4%,bear,50%,-0.04758292573398215,2414.5109292222382,1569.45
2023-03-06,-2%,4%,bear,50%,-0.0023001688489598937,1204.4785731986842,1565.84
2023-03-07,-2%,4%,bear,50%,-0.002477903234046841,1201.4939918468149,1561.96
2023-03-08,-2%,4%,bear,50%,-0.01893774488463207,589.3702025744009,1532.38
2023-03-09,-2%,4%,bear,50%,-0.06203422127670688,276.40454050700146,1437.32
2023-03-10,-2%,4%,bear,50%,-0.007569643503186452,137.15612833635072,1426.44
2023-03-13,-2%,4%,bear,50%,0.17316536272118,80.4534095245738,1673.45
2023-03-14,-2%,4%,bear,50%,0.015506886970031886,40.85049572621253,1699.4
2023-03-15,0%,4%,neutral,100%,-0.029092620925032397,39.66204773945017,1649.96
2023-03-16,-2%,4%,bear,50%,0.01440640985235997,20.11671772738428,1673.73
2023-03-17,2%,4%,bull,100%,0.0690314447372038,21.505403815476136,1789.27
2023-03-20,-2%,4%,bear,50%,-0.031571534759985975,10.413222605694148,1732.78
2023-03-21,2%,4%,bull,100%,0.039502995186925016,4870.506328622543,1801.23
2023-03-22,-2%,4%,bear,50%,-0.03714128678736206,2344.804728135756,1734.33
2023-03-23,2%,4%,bull,100%,0.04581596351328754,4797.038944141564,1813.79
2023-03-24,0%,4%,neutral,100%,-0.03540652445983272,4627.192467431046,1749.57
